first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournmaents,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
జపాటా,మిరల్లెస్ బెర్నబె ,కుడి,పురుషుడు,స్పెయిన్,25,12. 1. 1997,183 cm,82 kg,131,110,1558,146,0,11,0,11,59,90,,https://www.tennisexplorer.com/list-players/?country=spain
విల్లెల్లా,మార్టినెజ్ మారియో ,కుడి,పురుషుడు,స్పెయిన్,26,3. 7. 1995,178 cm,74 kg,226,158,448,186,0,11,0,11,109,91,,https://www.tennisexplorer.com/list-players/?country=spain
బారంకో,కోసనో  జావియర్,ఎడమ,పురుషుడు,స్పెయిన్,23,17. 11. 1998,175 cm,72 kg,261,247,320,258,0,11,0,11,139,114,,https://www.tennisexplorer.com/list-players/?country=spain
అల్వారెజ్,వరోనా  నికోలస్,కుడి,పురుషుడు,స్పెయిన్,21,18. 5. 2001,188 cm,80 kg,272,272,1282,540,0,2,0,2,14,24,,https://www.tennisexplorer.com/list-players/?country=spain
శాంచెజ్,ఇజ్క్విర్డో  నికోలస్,కుడి,పురుషుడు,స్పెయిన్,23,15. 3. 1999,185 cm,77 kg,286,267,671,355,0,6,0,6,36,53,,https://www.tennisexplorer.com/list-players/?country=spain
రోకా,బటాల్లా ఓరియల్ ,కుడి,పురుషుడు,స్పెయిన్,29,30. 4. 1993,173 cm,75 kg,287,193,314,192,0,27,0,27,356,155,,https://www.tennisexplorer.com/list-players/?country=spain
ఎస్టీవ్,లోబాటో ఎదుర్డ్ ,కుడి,పురుషుడు,స్పెయిన్,27,18. 9. 1994,188 cm,83 kg,300,271,646,319,0,8,0,8,234,128,,https://www.tennisexplorer.com/list-players/?country=spain
గిమెనో,వాలెరో  కార్లోస్,కుడి,పురుషుడు,స్పెయిన్,20,25. 6. 2001,188 cm,80 kg,326,259,,393,0,5,0,5,2,2,,https://www.tennisexplorer.com/list-players/?country=spain
గ్రానోల్లర్స్ పుజోల్ ,మార్సెల్,కుడి,పురుషుడు,స్పెయిన్,36,12. 4. 1986,191 cm,80 kg,356,19,10,4,4,13,4,13,577,324,,https://www.tennisexplorer.com/list-players/?country=spain
మెనెండెజ్ మసీఐరస్ ,అడ్రియన్,కుడి,పురుషుడు,స్పెయిన్,36,28. 10. 1985,183 cm,75 kg,357,111,231,104,0,13,0,13,233,205,,https://www.tennisexplorer.com/list-players/?country=spain
మార్టిన్,టిఫ్ఫోన్ పోల్ ,కుడి,పురుషుడు,స్పెయిన్,22,30. 7. 1999,183 cm,73 kg,378,378,1012,505,0,3,0,3,21,36,,https://www.tennisexplorer.com/list-players/?country=spain
రోబ్రేడో,టామీ,కుడి,పురుషుడు,స్పెయిన్,40,1. 5. 1982,180 cm,75 kg,385,5,,16,13,8,13,8,178,197,,https://www.tennisexplorer.com/list-players/?country=spain
మోరో,కెనస్అ  లెజాండ్రో,కుడి,పురుషుడు,స్పెయిన్,21,7. 12. 2000,,,402,399,1035,1024,0,2,0,2,6,18,,https://www.tennisexplorer.com/list-players/?country=spain
శాంచెజ్,జోవర్ కార్లోస్ ,కుడి,పురుషుడు,స్పెయిన్,21,21. 7. 2000,,,414,414,496,408,0,2,0,2,76,53,,https://www.tennisexplorer.com/list-players/?country=spain
మార్టి,పుజోల్రాస్ అలెక్ స్ ,కుడి,పురుషుడు,స్పెయిన్,23,10. 2. 1999,,,438,434,878,791,0,2,0,2,16,34,,https://www.tennisexplorer.com/list-players/?country=spain
లోపెజ్,మోంటగుడ్ కార్లోస్ ,కుడి,పురుషుడు,స్పెయిన్,21,6. 7. 2000,,,470,462,450,450,0,2,0,2,50,36,,https://www.tennisexplorer.com/list-players/?country=spain
లోపెజ్,శాన్‌మార్టిన్ అలవారో ,కుడి,పురుషుడు,స్పెయిన్,24,2. 6. 1997,178 cm,70 kg,487,341,976,378,0,10,0,10,62,24,,https://www.tennisexplorer.com/list-players/?country=spain
విడాల్,అజోరిన్ జోస్ ఎఫ్ కో ,కుడి,పురుషుడు,స్పెయిన్,28,12. 6. 1993,178 cm,68 kg,502,442,509,415,0,4,0,4,133,133,,https://www.tennisexplorer.com/list-players/?country=spain
గోమెజ్ హెర్రెర ,కార్లోస్,కుడి,పురుషుడు,స్పెయిన్,32,30. 4. 1990,191 cm,85 kg,512,268,256,195,0,10,0,10,112,82,,https://www.tennisexplorer.com/list-players/?country=spain
దామాస్,మిగుల్,కుడి,పురుషుడు,స్పెయిన్,22,21. 12. 1999,,,530,530,808,767,0,0,0,0,15,25,,https://www.tennisexplorer.com/list-players/?country=spain
లోపెజ్,మోరిల్లోఇమనోల్,కుడి,పురుషుడు,స్పెయిన్,22,18. 11. 1999,,,544,543,592,564,0,2,0,2,47,50,,https://www.tennisexplorer.com/list-players/?country=spain
లామాస్,రూయిజ్ పాబ్లో ,కుడి,పురుషుడు,స్పెయిన్,19,13. 10. 2002,,,561,512,738,675,0,2,0,2,21,22,,https://www.tennisexplorer.com/list-players/?country=spain
ఒర్టెగోల్మెడో,రాబర్టో,కుడి,పురుషుడు,స్పెయిన్,31,30. 4. 1991,168 cm,70 kg,563,232,321,226,0,15,0,15,238,166,,https://www.tennisexplorer.com/list-players/?country=spain
బరోసో,కాంపోస్ అల్బెర్టో ,కుడి,పురుషుడు,స్పెయిన్,25,4. 6. 1996,178 cm,72 kg,578,578,278,278,0,1,0,1,120,65,,https://www.tennisexplorer.com/list-players/?country=spain
మెరిడా,అగ్యిలర్ డేనియల్ ,కుడి,పురుషుడు,స్పెయిన్,17,26. 9. 2004,,,583,583,,,0,2,0,2,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
టోలెడో,బాగ్పోల్,కుడి,పురుషుడు,స్పెయిన్,27,22. 12. 1994,178 cm,72 kg,591,372,1288,204,0,5,0,5,240,136,,https://www.tennisexplorer.com/list-players/?country=spain
గార్సియా  లోపెజ్,గిల్లెర్మో,కుడి,పురుషుడు,స్పెయిన్,38,4. 6. 1983,185 cm,80 kg,605,23,1041,26,5,7,5,7,157,207,,https://www.tennisexplorer.com/list-players/?country=spain
సోరియానో,బర్రెరా అడ్రియా ,కుడి,పురుషుడు,స్పెయిన్,22,2. 6. 1999,,,699,693,924,918,0,0,0,0,17,15,,https://www.tennisexplorer.com/list-players/?country=spain
వింటర్ ,లోపెజ్ బెంజమిన్ ,కుడి,పురుషుడు,స్పెయిన్,24,27. 5. 1998,,,701,663,584,432,0,0,0,0,113,73,,https://www.tennisexplorer.com/list-players/?country=spain
గిమెనో  ట్రావర్,డేనియల్,కుడి,పురుషుడు,స్పెయిన్,36,7. 8. 1985,183 cm,80 kg,717,48,1156,63,0,20,0,20,123,170,,https://www.tennisexplorer.com/list-players/?country=spain
ఎచెవెరియా,జాన్,కుడి,పురుషుడు,స్పెయిన్,20,30. 11. 2001,,,721,706,676,672,0,1,0,1,14,27,,https://www.tennisexplorer.com/list-players/?country=spain
మాంటెస్డే,లా  టోరేఇనాకి,కుడి,పురుషుడు,స్పెయిన్,19,3. 10. 2002,,,744,742,945,935,0,0,0,0,8,4,,https://www.tennisexplorer.com/list-players/?country=spain
బారెటో,శాంచెజ్  డి గో  అగస్టో,కుడి,పురుషుడు,స్పెయిన్,20,18. 4. 2002,,,750,746,880,865,0,0,0,0,11,16,,https://www.tennisexplorer.com/list-players/?country=spain
అర్టునెడో,మార్టినావర్ అండ్రెస్ ,కుడి,పురుషుడు,స్పెయిన్,28,14. 9. 1993,183 cm,76 kg,779,293,846,267,0,14,0,14,113,62,,https://www.tennisexplorer.com/list-players/?country=spain
రింకన్,డేనియల్,ఎడమ,పురుషుడు,స్పెయిన్,19,7. 1. 2003,,,798,798,847,847,0,0,0,0,16,13,,https://www.tennisexplorer.com/list-players/?country=spain
అల్కాలా,గురి  మాక్స్,కుడి,పురుషుడు,స్పెయిన్,19,11. 9. 2002,,,800,800,1155,1155,0,0,0,0,12,27,,https://www.tennisexplorer.com/list-players/?country=spain
బోలుడా పూర్కిస్ ,కార్లోస్,కుడి,పురుషుడు,స్పెయిన్,29,22. 1. 1993,173 cm,69 kg,818,254,1449,329,0,9,0,9,175,116,,https://www.tennisexplorer.com/list-players/?country=spain
మాన్సిల్లా,డైజ్ మారియో ,కుడి,పురుషుడు,స్పెయిన్,20,12. 5. 2002,,,847,847,793,793,0,0,0,0,23,30,,https://www.tennisexplorer.com/list-players/?country=spain
ప్లా,మాల్ఫీటో  జౌమ్,కుడి,పురుషుడు,స్పెయిన్,26,3. 6. 1995,,,866,501,861,299,0,1,0,1,241,163,,https://www.tennisexplorer.com/list-players/?country=spain
వివేరో,గొంజాలెజ్ పాబ్లో ,కుడి,పురుషుడు,స్పెయిన్,27,26. 4. 1995,193 cm,80 kg,868,283,1115,360,0,13,0,13,126,102,,https://www.tennisexplorer.com/list-players/?country=spain
జోర్డా,సాంచిస్ డేవిడ్ ,కుడి,పురుషుడు,స్పెయిన్,27,14. 6. 1994,196 cm,86 kg,873,684,923,501,0,0,0,0,87,85,,https://www.tennisexplorer.com/list-players/?country=spain
పుజోల్,నవరో  బ్రూనో,కుడి,పురుషుడు,స్పెయిన్,20,27. 8. 2001,,,903,902,1108,1108,0,0,0,0,13,33,,https://www.tennisexplorer.com/list-players/?country=spain
మార్టినెజ్,మార్టినెజ్ జార్జి ,కుడి,పురుషుడు,స్పెయిన్,26,23. 9. 1995,,,931,930,1472,1457,0,0,0,0,8,16,,https://www.tennisexplorer.com/list-players/?country=spain
వైవ్స్,మార్కోస్ పెడ్రో ,కుడి,పురుషుడు,స్పెయిన్,21,13. 4. 2001,,,982,578,1203,541,0,0,0,0,71,57,,https://www.tennisexplorer.com/list-players/?country=spain
డి ,రాలేద డి  గెంవరింజైసి,కుడి,పురుషుడు,స్పెయిన్,24,11. 2. 1998,183 cm,75 kg,1041,1034,,1445,0,0,0,0,7,18,,https://www.tennisexplorer.com/list-players/?country=spain
గార్సియా,అలెజాండ్రో,కుడి,పురుషుడు,స్పెయిన్,20,19. 11. 2001,,,1043,961,1299,1180,0,0,0,0,12,22,,https://www.tennisexplorer.com/list-players/?country=spain
మంజనేరా,పెర్టుసా  అలెజాండ్రో,కుడి,పురుషుడు,స్పెయిన్,,,,,1067,1065,912,902,0,0,0,0,12,9,,https://www.tennisexplorer.com/list-players/?country=spain
అల్కరాజ్,ఐవోర్రా ఆల్బర్ట్ ,కుడి,పురుషుడు,స్పెయిన్,27,15. 5. 1995,191 cm,85 kg,1074,377,,582,0,3,0,3,55,62,,https://www.tennisexplorer.com/list-players/?country=spain
ఓజెడ,లారా రికార్డో ,కుడి,పురుషుడు,స్పెయిన్,29,26. 1. 1993,178 cm,75 kg,1085,171,1836,381,0,16,0,16,92,72,,https://www.tennisexplorer.com/list-players/?country=spain
ఆండ్రూ,గార్సియా  ఫ్రాన్సిస్కో,కుడి,పురుషుడు,స్పెయిన్,21,7. 3. 2001,,,1091,957,,1052,0,0,0,0,0,6,,https://www.tennisexplorer.com/list-players/?country=spain
గొంజాలెజ్,ఫెర్నాండెజ్ మారియో ,కుడి,పురుషుడు,స్పెయిన్,20,28. 4. 2002,,,1178,1178,2184,1800,0,0,0,0,2,5,,https://www.tennisexplorer.com/list-players/?country=spain
రోగ్లాన్,ఆల్బర్ట్,కుడి,పురుషుడు,స్పెయిన్,23,13. 11. 1998,,,1194,823,1168,622,0,0,0,0,43,39,,https://www.tennisexplorer.com/list-players/?country=spain
గ్రానోల్లర్స్ పుజోల్ ,గెరార్డ్,కుడి,పురుషుడు,స్పెయిన్,33,30. 1. 1989,,,1212,217,886,92,0,16,0,16,294,162,,https://www.tennisexplorer.com/list-players/?country=spain
రోడెనాస్,పెడ్రో,కుడి,పురుషుడు,స్పెయిన్,,,,,1230,1230,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
మెస్క్విడా, బెర్గ్  ఆస్కార్ ,కుడి,పురుషుడు,స్పెయిన్,26,7. 5. 1996,183 cm,68 kg,1295,1173,1323,928,0,0,0,0,30,38,,https://www.tennisexplorer.com/list-players/?country=spain
మార్టోస్,గోర్నెస్ సె ర్గియో,ఎడమ,పురుషుడు,స్పెయిన్,27,19. 10. 1994,185 cm,80 kg,1302,726,149,142,0,0,0,0,378,225,,https://www.tennisexplorer.com/list-players/?country=spain
మార్టినెజ్,అలెక్స్,కుడి,పురుషుడు,స్పెయిన్,21,19. 3. 2001,,,1334,1188,2397,1236,0,0,0,0,6,14,,https://www.tennisexplorer.com/list-players/?country=spain
అమోరోస్,రామోస్ పోల్ ,కుడి,పురుషుడు,స్పెయిన్,24,24. 2. 1998,,,1341,1196,1774,1394,0,0,0,0,7,17,,https://www.tennisexplorer.com/list-players/?country=spain
పెరెజ్,కాంట్రి  సెర్గి,కుడి,పురుషుడు,స్పెయిన్,24,20. 1. 1998,,,1345,926,1695,755,0,0,0,0,46,67,,https://www.tennisexplorer.com/list-players/?country=spain
కాబ్రేరా,బెల్లోఇనాకి,కుడి,పురుషుడు,స్పెయిన్,,,,,1388,1375,,,0,0,0,0,0,4,,https://www.tennisexplorer.com/list-players/?country=spain
సంప్పెర్  మో టానా,జోర్డి,కుడి,పురుషుడు,స్పెయిన్,32,5. 4. 1990,,,1413,179,,227,0,20,0,20,85,60,,https://www.tennisexplorer.com/list-players/?country=spain
క్తిరి,మార్క్   ఒ త్మాన్,కుడి,పురుషుడు,స్పెయిన్,,,,,1475,1464,1135,1132,0,0,0,0,4,10,,https://www.tennisexplorer.com/list-players/?country=spain
మునోజ్డే,లా  నావా డేనియల్ ,ఎడమ,పురుషుడు,స్పెయిన్,40,29. 1. 1982,175 cm,75 kg,1504,68,,94,0,11,0,11,183,140,,https://www.tennisexplorer.com/list-players/?country=spain
వేగా,హెర్నాండెజ్ డేవిడ్ ,కుడి,పురుషుడు,స్పెయిన్,27,23. 6. 1994,188 cm,78 kg,1504,403,52,52,0,3,0,3,420,245,,https://www.tennisexplorer.com/list-players/?country=spain
కుర్రలు,అబాసోలో థోమస్ ,కుడి,పురుషుడు,స్పెయిన్,22,2. 5. 2000,,,1558,1552,,1907,0,0,0,0,2,6,,https://www.tennisexplorer.com/list-players/?country=spain
కోలాస్,శాంచెజ్ ఆల్బర్ట్ ,కుడి,పురుషుడు,స్పెయిన్,22,19. 5. 2000,,,1586,917,,1246,0,0,0,0,6,16,,https://www.tennisexplorer.com/list-players/?country=spain
మర్రెరో,కర్బెలోఇవాన్,కుడి,పురుషుడు,స్పెయిన్,23,27. 9. 1998,,,1615,1191,1163,832,0,0,0,0,19,59,,https://www.tennisexplorer.com/list-players/?country=spain
ప్లానెల్లెస్,రిపోల్ గెరార్డ్ ,కుడి,పురుషుడు,స్పెయిన్,,,,,1645,1596,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
సెర్వంటెస్,ఇనిగో,కుడి,పురుషుడు,స్పెయిన్,32,30. 11. 1989,183 cm,78 kg,1650,56,437,105,1,11,1,11,134,132,,https://www.tennisexplorer.com/list-players/?country=spain
కెనాస్,గార్సియా జువాన్,కుడి,పురుషుడు,స్పెయిన్,25,8. 3. 1997,,,1705,1178,1049,765,0,0,0,0,41,77,,https://www.tennisexplorer.com/list-players/?country=spain
యుద్ధం,కార్లెస్,కుడి,పురుషుడు,స్పెయిన్,22,15. 4. 2000,,,1709,1662,,1420,0,0,0,0,3,7,,https://www.tennisexplorer.com/list-players/?country=spain
పెరెజ్,పెనామిగ్యుల్,కుడి,పురుషుడు,స్పెయిన్,,,,,1709,1702,,,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
రెగ్యుంట్,అలెజాండ్రో,కుడి,పురుషుడు,స్పెయిన్,23,29. 6. 1998,,,1709,1579,,1639,0,0,0,0,0,4,,https://www.tennisexplorer.com/list-players/?country=spain
టురిజియాని,అల్వారెజ్ అలెజాండ్రో ,కుడి,పురుషుడు,స్పెయిన్,,,,,1709,1709,,,0,0,0,0,0,4,,https://www.tennisexplorer.com/list-players/?country=spain
గబారో,జేవియర్,కుడి,పురుషుడు,స్పెయిన్,22,16. 10. 1999,,,1816,1332,2261,1321,0,0,0,0,7,15,,https://www.tennisexplorer.com/list-players/?country=spain
మాస్,డి యూగార్టె  జోర్డి,కుడి,పురుషుడు,స్పెయిన్,26,26. 7. 1995,,,1816,1690,1767,1344,0,0,0,0,10,14,,https://www.tennisexplorer.com/list-players/?country=spain
మునిజ్,హిడాల్గో ఆంటోనియో ,కుడి,పురుషుడు,స్పెయిన్,22,18. 1. 2000,183 cm,70 kg,1816,1698,,1800,0,0,0,0,2,3,,https://www.tennisexplorer.com/list-players/?country=spain
రేగాస్,లూయిస్ నిల్ ,కుడి,పురుషుడు,స్పెయిన్,22,1. 1. 2000,,,1816,1702,2184,2184,0,0,0,0,1,2,,https://www.tennisexplorer.com/list-players/?country=spain
మోలినో,జేవియర్,కుడి,పురుషుడు,స్పెయిన్,21,14. 5. 2001,,,2005,1448,1753,1650,0,0,0,0,3,12,,https://www.tennisexplorer.com/list-players/?country=spain
హెర్నాండెజ్,కార్లెస్,కుడి,పురుషుడు,స్పెయిన్,21,25. 4. 2001,,,2063,1694,,1907,0,0,0,0,1,5,,https://www.tennisexplorer.com/list-players/?country=spain
మతాలు,ఒర్టెగాక్సవి,కుడి,పురుషుడు,స్పెయిన్,19,26. 8. 2002,,,2063,2036,,,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
పోన్స్,డేలెఒంగోమిలమటిస్,కుడి,పురుషుడు,స్పెయిన్,19,1. 1. 2003,,,2063,1822,1508,1496,0,0,0,0,2,4,,https://www.tennisexplorer.com/list-players/?country=spain
అలాగోన్,ఆర్టురో,కుడి,పురుషుడు,స్పెయిన్,40,16. 1. 1982,,,,1516,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
ఆల్బర్ట్ ఆల్బర్ట్,మరియానో,కుడి,పురుషుడు,స్పెయిన్,40,26. 4. 1982,,,,185,,354,0,6,0,6,8,8,,https://www.tennisexplorer.com/list-players/?country=spain
ఆల్కైడ్ ఆల్కైడ్,గిల్లెర్మో,కుడి,పురుషుడు,స్పెయిన్,36,27. 5. 1986,188 cm,77 kg,,195,,317,0,5,0,5,22,36,,https://www.tennisexplorer.com/list-players/?country=spain
అల్కరాజ్ అల్కరాజ్,ఆంటోనియో,కుడి,పురుషుడు,స్పెయిన్,41,21. 6. 1980,,,,628,,886,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
ఆల్కోర్టోల్రా,గిల్లెర్మో,కుడి,పురుషుడు,స్పెయిన్,32,16. 6. 1989,,,,593,2416,747,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=spain
అలెజోస్అలండి,జోస్,కుడి,పురుషుడు,స్పెయిన్,51,16. 1. 1971,,,,1358,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
అలెమనీ,పాబ్లో,కుడి,పురుషుడు,స్పెయిన్,19,12. 8. 2002,,,,1472,,1506,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=spain
అల్మాగ్రో,నికోలస్,కుడి,పురుషుడు,స్పెయిన్,36,21. 8. 1985,182 cm,81 kg,,9,,48,13,12,13,12,94,140,,https://www.tennisexplorer.com/list-players/?country=spain
అలోన్సో,జూలియన్,కుడి,పురుషుడు,స్పెయిన్,44,2. 8. 1977,185 cm,82 kg,,38,,53,2,2,2,2,49,66,,https://www.tennisexplorer.com/list-players/?country=spain
అలోన్సోకాంపోస్,ఏంజెల్,కుడి,పురుషుడు,స్పెయిన్,38,5. 2. 1984,,,,771,,844,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=spain
అల్వారెజ్,లామాస్యాక్సెల్,కుడి,పురుషుడు,స్పెయిన్,29,25. 2. 1993,,,,1051,,982,0,0,0,0,1,2,,https://www.tennisexplorer.com/list-players/?country=spain
అమంటెగుయ్,జేవియర్,కుడి,పురుషుడు,స్పెయిన్,24,6. 12. 1997,,,,1630,,,0,0,0,0,1,17,,https://www.tennisexplorer.com/list-players/?country=spain
అరంజబల్,మైకెల్,కుడి,పురుషుడు,స్పెయిన్,21,22. 3. 2001,,,,1886,1744,1066,0,0,0,0,8,22,,https://www.tennisexplorer.com/list-players/?country=spain
అరౌజోమార్టినెజ్,జువాన్ జువాన్,కుడి,పురుషుడు,స్పెయిన్,31,22. 8. 1990,,,,398,,236,0,1,0,1,153,69,,https://www.tennisexplorer.com/list-players/?country=spain
ఆర్కోస్,డెల్వాల్జోసింటోనియో,కుడి,పురుషుడు,స్పెయిన్,20,26. 7. 2001,,,,1580,,,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
అరేనాస్‌గ్వాల్డా,ఇవాన్,ఎడమ,పురుషుడు,స్పెయిన్,31,31. 10. 1990,,,,353,,209,0,3,0,3,208,95,,https://www.tennisexplorer.com/list-players/?country=spain
ఆర్మెంగోల్,డెల్గాడో డెల్గాడో,కుడి,పురుషుడు,స్పెయిన్,28,2. 4. 1994,,,,1850,,1574,0,0,0,0,1,3,,https://www.tennisexplorer.com/list-players/?country=spain
అర్టునెడో,అలెజాండ్రో,కుడి,పురుషుడు,స్పెయిన్,25,31. 7. 1996,,,,1196,,1542,0,0,0,0,7,16,,https://www.tennisexplorer.com/list-players/?country=spain
అరుమి,సెర్గి,కుడి,పురుషుడు,స్పెయిన్,39,28. 7. 1982,,,,545,,575,0,1,0,1,1,1,,https://www.tennisexplorer.com/list-players/?country=spain
అవేల్లనెడ,గెరార్డ్,కుడి,పురుషుడు,స్పెయిన్,42,8. 10. 1979,,,,1322,,1036,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
అయల,హెర్నాండెజ్ ఆంటోనియో.,కుడి,పురుషుడు,స్పెయిన్,27,9. 5. 1995,,,,1482,,,0,0,0,0,2,7,,https://www.tennisexplorer.com/list-players/?country=spain
బైనాద్,ఎడ్వర్డ్,కుడి,పురుషుడు,స్పెయిన్,38,25. 10. 1983,,,,887,,1395,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బాల్సెల్స్,జువాన్,కుడి,పురుషుడు,స్పెయిన్,46,20. 6. 1975,,,,59,,65,1,0,1,0,106,97,,https://www.tennisexplorer.com/list-players/?country=spain
బాల్డెల్లౌస్టెవా,ఆంటోనియో,కుడి,పురుషుడు,స్పెయిన్,40,8. 11. 1981,,,,438,,240,0,2,0,2,8,11,,https://www.tennisexplorer.com/list-players/?country=spain
బల్లెస్టా,ఆల్బర్ట్,కుడి,పురుషుడు,స్పెయిన్,38,12. 6. 1983,,,,1227,,1344,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బానోస్,పాంటోజా పాంటోజా,కుడి,పురుషుడు,స్పెయిన్,30,20. 5. 1992,,,,1006,,1013,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
బానోస్,అగస్టిన్,కుడి,పురుషుడు,స్పెయిన్,45,4. 7. 1976,,,,586,,461,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బానుస్సాడో,అల్బెర్టో,కుడి,పురుషుడు,స్పెయిన్,47,5. 6. 1974,,,,424,,1089,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
బార్బెరన్ బార్బెరన్,జౌమ్,కుడి,పురుషుడు,స్పెయిన్,42,1. 7. 1979,,,,1473,,1246,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బార్బెరన్ బార్బెరన్,సెర్గియో,కుడి,పురుషుడు,స్పెయిన్,42,1. 7. 1979,,,,939,,1103,0,0,0,0,2,3,,https://www.tennisexplorer.com/list-players/?country=spain
బారంకో,సెర్గియో,ఎడమ,పురుషుడు,స్పెయిన్,29,2. 4. 1993,,,,1171,2477,640,0,0,0,0,25,28,,https://www.tennisexplorer.com/list-players/?country=spain
బస్సాస్,ఆల్బర్ట్,కుడి,పురుషుడు,స్పెయిన్,45,4. 10. 1976,,,,1328,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బాటేస్టెజా,మౌరో,కుడి,పురుషుడు,స్పెయిన్,41,10. 7. 1980,,,,1351,,1250,0,0,0,0,0,1,,https://www.tennisexplorer.com/list-players/?country=spain
బీస్కొయెట్స్ఎట్క్సబర్,జోన్,కుడి,పురుషుడు,స్పెయిన్,36,31. 5. 1985,,,,1473,,1677,0,0,0,0,0,2,,https://www.tennisexplorer.com/list-players/?country=spain
బ్యూస్ బ్యూస్,జువాన్,కుడి,పురుషుడు,స్పెయిన్,36,21. 4. 1986,,,,980,,797,0,0,0,0,6,14,,https://www.tennisexplorer.com/list-players/?country=spain
బెలోసో,ఆసిన్ఇనాకి,కుడి,పురుషుడు,స్పెయిన్,30,31. 1. 1992,,,,1626,,,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బెన్ఫెలె బెన్ఫెలె,ఎమిలియో,కుడి,పురుషుడు,స్పెయిన్,49,15. 11. 1972,183 cm,85 kg,,101,,91,0,2,0,2,155,119,,https://www.tennisexplorer.com/list-players/?country=spain
బెనిటో,హెర్గ్యుటా హెర్గ్యుటా,కుడి,పురుషుడు,స్పెయిన్,27,23. 1. 1995,,,,1463,,,0,0,0,0,2,3,,https://www.tennisexplorer.com/list-players/?country=spain
బెంజాల్,అలియాఇగ్నాసియో,కుడి,పురుషుడు,స్పెయిన్,22,28. 2. 2000,,,,1680,2261,1844,0,0,0,0,3,10,,https://www.tennisexplorer.com/list-players/?country=spain
బెరసాతెగుయ్,అల్బెర్టో,కుడి,పురుషుడు,స్పెయిన్,48,28. 6. 1973,,,,12,,62,6,4,6,4,29,40,,https://www.tennisexplorer.com/list-players/?country=spain
బెర్బెగల్,మోరెనోఅల్బెర్టో,కుడి,పురుషుడు,స్పెయిన్,28,4. 5. 1994,,,,1604,,,0,0,0,0,0,3,,https://www.tennisexplorer.com/list-players/?country=spain
బిల్బావో,ఇకర్,ఎడమ,పురుషుడు,స్పెయిన్,42,12. 6. 1979,,,,880,,1297,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=spain
బయోస్కా,గిర్వెంట్ గిర్వెంట్,కుడి,పురుషుడు,స్పెయిన్,28,1. 2. 1994,,,,1157,,1247,0,0,0,0,1,3,,https://www.tennisexplorer.com/list-players/?country=spain
బ్లాంకో,డామేఆళ్వారో,కుడి,పురుషుడు,స్పెయిన్,25,30. 5. 1997,,,,1600,,1484,0,0,0,0,3,3,,https://www.tennisexplorer.com/list-players/?country=spain
బ్లాంకో,గ్వాడాలుపే గ్వాడాలుపే,కుడి,పురుషుడు,స్పెయిన్,24,17. 11. 1997,191 cm,89 kg,,940,,1086,0,0,0,0,12,34,,https://www.tennisexplorer.com/list-players/?country=spain
బ్లాంకో,పారిస్ ఫ్రాన్సిస్కో,కుడి,పురుషుడు,స్పెయిన్,26,25. 3. 1996,,,,1630,,,0,0,0,0,1,11,,https://www.tennisexplorer.com/list-players/?country=spain
బ్లాంకో,గాలో,కుడి,పురుషుడు,స్పెయిన్,45,8. 10. 1976,,,,43,,338,1,2,1,2,11,22,,https://www.tennisexplorer.com/list-players/?country=spain
బోగాజో,ఫెర్నాండో,కుడి,పురుషుడు,స్పెయిన్,29,12. 10. 1992,,,,901,,1370,0,0,0,0,16,21,,https://www.tennisexplorer.com/list-players/?country=spain
బోజే,అగస్టిన్,ఎడమ,పురుషుడు,స్పెయిన్,33,15. 7. 1988,,,,333,,241,0,1,0,1,8,22,,https://www.tennisexplorer.com/list-players/?country=spain
